length,sorted,reversed,random
1,291374,63096,58718
1,51026,51848,66984
1,42747,43469,45384
1,35462,46376,34760
2,114954,86531,78985
2,194178,77838,41620
2,24153,34232,22401
3,62720,64868,30829
4,39974,38391,39039
5,91041,62518,76905
6,62118,65672,65138
7,72342,78784,80065
8,84460,86633,91621
10,108460,113156,123206
12,136219,143663,150516
15,172710,188249,199597
18,216149,226651,237808
22,348310,528494,414362
26,586579,623151,634838
31,1436490,1034439,1130159
38,1116908,1288183,1214434
46,1182740,1255474,1281288
55,1541276,1415862,1683714
66,1928195,1754507,2239465
79,1987391,2269864,2226379
95,2579485,2654421,2969631
114,4078806,2945755,3376040
137,3784506,3616192,4540715
164,4793607,4680887,5386521
197,3256652,3654869,4069034
237,1574679,1780213,2519039
284,1835439,2377650,3019534
341,2288585,2736558,3910661
410,2876241,3147636,4582270
492,3257166,3558502,5556428
590,3815404,4463541,6759046
708,5043136,5789420,8705919
850,5867404,6639650,10178530
1020,6612067,7738961,12298683
1224,8529588,9715341,15717471
1469,9836667,11455001,18685669
1763,12584683,14553688,24607610
2116,15237033,17241422,28230705
2539,17838075,20798250,36138254
3047,21121053,23882896,42881534
3657,26072299,30661493,52559271
4388,32034635,36253457,64229862
5266,48007746,53088719,92190411
6319,54564316,59956519,107738265
